msgid,msgstr,placeholders_original,placeholders_translation
"

Transfers %(transfer_list)s: You need to supply a Lot/Serial number for products %(product_list)s.","

Преноси %(transfer_list)s: Треба да наведете број на лот/сериски број за производите %(product_list)s.","%(transfer_list)s, %(product_list)s","%(transfer_list)s, %(product_list)s"
"
(%(serial_number)s) exists in location %(location)s","
(%(serial_number)s) се наоѓа на локацијата %(location)s","%(serial_number)s, %(location)s","%(serial_number)s, %(location)s"
" - Product: %(product)s, Lot/Serial Number: %(lot)s"," - Производ: %(product)s, Лот/сериен број: %(lot)s","%(product)s, %(lot)s","%(product)s, %(lot)s"
%(name)s (copy)(%(id)s),%(name)s (copy)(%(id)s),"%(name)s, %(id)s","%(name)s, %(id)s"
%(name)s Sequence cross dock,%(name)s Секуенс крос-док,%(name)s,%(name)s
%(name)s Sequence in,%(name)s Следница во,%(name)s,%(name)s
%(name)s Sequence internal,%(name)s Внатрешна низа,%(name)s,%(name)s
%(name)s Sequence out,%(name)s Излез на низа,%(name)s,%(name)s
%(name)s Sequence packing,%(name)s Пакување на секвенци,%(name)s,%(name)s
%(name)s Sequence picking,%(name)s Избор на секвенца,%(name)s,%(name)s
%(name)s Sequence quality control,%(name)s Контрола на квалитетот на секвенцата,%(name)s,%(name)s
%(name)s Sequence storage,%(name)s Складирање на секвенци,%(name)s,%(name)s
"%(operations)s have default source or destination locations within warehouse %(warehouse)s, therefore you cannot archive it.","%(operations)s имаат стандардни локации за извор или дестинација во рамките на магацинските %(warehouse)s, затоа не можете да ги архивирате.","%(operations)s, %(warehouse)s","%(operations)s, %(warehouse)s"
%(product)s: Insufficient Quantity To Scrap,%(product)s: Недоволна количина за отпис,%(product)s,%(product)s
%(product_name)s --> Product UoM is %(product_uom)s (%(product_uom_category)s) - Move UoM is %(move_uom)s (%(move_uom_category)s),%(product_name)s --> Единица на производ е %(product_uom)s (%(product_uom_category)s) - Единица за пренос е %(move_uom)s (%(move_uom_category)s),"%(product_name)s, %(product_uom)s, %(product_uom_category)s, %(move_uom)s, %(move_uom_category)s","%(product_name)s, %(product_uom)s, %(product_uom_category)s, %(move_uom)s, %(move_uom_category)s"
%(warehouse)s Sequence %(code)s,%(warehouse)s Низа %(code)s,"%(warehouse)s, %(code)s","%(warehouse)s, %(code)s"
